"NAME","DATE","VALUE","ENDOGENIZE","TRANSFORM","X"
"yy_fs_fsa_to",2025,3.21161028918851,"yy_fs_fsa_to_res","pct",
"yy_fs_fsa_to",2026,6.83829173720217,"yy_fs_fsa_to_res","pct",
"yy_fs_fsa_to",2027,3.8720267544511,"yy_fs_fsa_to_res","pct",
"yy_fs_fsa_to",2028,4.88725515540434,"yy_fs_fsa_to_res","pct",
"yy_fs_fsa_to",2029,4.65613866797273,"yy_fs_fsa_to_res","pct",
"yy_fs_fsl_to",2025,3.01774101513771,"yy_fs_fsl_to_res","pct",
"yy_fs_fsl_to",2026,6.66551021039715,"yy_fs_fsl_to_res","pct",
"yy_fs_fsl_to",2027,3.6809500984376,"yy_fs_fsl_to_res","pct",
"yy_fs_fsl_to",2028,4.70232960603792,"yy_fs_fsl_to_res","pct",
"yy_fs_fsl_to",2029,4.47382503622016,"yy_fs_fsl_to_res","pct",
"yy_fs_ga_to",2025,0.793287217876623,"yy_fs_ga_to_res","pct",
"yy_fs_ga_to",2026,4.80814514336994,"yy_fs_ga_to_res","pct",
"yy_fs_ga_to",2027,2.18657401910859,"yy_fs_ga_to_res","pct",
"yy_fs_ga_to",2028,3.36366366897947,"yy_fs_ga_to_res","pct",
"yy_fs_ga_to",2029,3.53121174125305,"yy_fs_ga_to_res","pct",
"yy_fs_gl_to",2025,4.6402494116718,"yy_fs_gl_to_res","pct",
"yy_fs_gl_to",2026,6.22250967849795,"yy_fs_gl_to_res","pct",
"yy_fs_gl_to",2027,4.60388077206239,"yy_fs_gl_to_res","pct",
"yy_fs_gl_to",2028,4.73471676491871,"yy_fs_gl_to_res","pct",
"yy_fs_gl_to",2029,4.33274121082991,"yy_fs_gl_to_res","pct",
"yy_fs_ha_to",2025,3.36725951597604,"yy_fs_ha_to_res","pct",
"yy_fs_ha_to",2026,9.95435489064291,"yy_fs_ha_to_res","pct",
"yy_fs_ha_to",2027,2.14735025708939,"yy_fs_ha_to_res","pct",
"yy_fs_ha_to",2028,4.29705258655392,"yy_fs_ha_to_res","pct",
"yy_fs_ha_to",2029,7.94199642921578,"yy_fs_ha_to_res","pct",
"yy_fs_hl_to",2025,4.5150324663417,"yy_fs_hl_to_res","pct",
"yy_fs_hl_to",2026,3.89558902477145,"yy_fs_hl_to_res","pct",
"yy_fs_hl_to",2027,2.0994102332646,"yy_fs_hl_to_res","pct",
"yy_fs_hl_to",2028,2.35634715179931,"yy_fs_hl_to_res","pct",
"yy_fs_hl_to",2029,2.93738164490854,"yy_fs_hl_to_res","pct",
"yy_fs_imf_cad",2013,3.14853315652032,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2014,6.14958562539284,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2015,3.14958562539292,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2016,4.91611281572237,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2017,3.5035821493469,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2018,9.23451997765793,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2019,8.56247955143673,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2020,2.24888503016908,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2021,10.288745485903,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2022,5.81453797217571,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2023,3.9855252557577,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2024,8.42928176482421,"yy_fs_imf_cad_res","pct",
