NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM,
yy_cons_tc_exp,2023,3.32960667325566,yy_cons_tc_exp_res,pct
yy_cons_tc_exp,2024,5.00890748602523,yy_cons_tc_exp_res,pct
yy_cons_tc_exp,2025,-3.11008856658277,yy_cons_tc_exp_res,pct
yy_cons_tc_exp,2026,-3.88195548717407,yy_cons_tc_exp_res,pct
yy_cons_tc_exp,2027,2.68311523271627,yy_cons_tc_exp_res,pct
yy_cons_tc_exp,2028,5.75621131582658,yy_cons_tc_exp_res,pct
yy_cons_tc_exp,2029,5.51619884659179,yy_cons_tc_exp_res,pct
yy_md_move,2008,5.67132653089072,yy_md_move_res,pct,
yy_md_move,2009,13.2884018118372,yy_md_move_res,pct,
yy_md_move,2010,11.5504493011426,yy_md_move_res,pct,
yy_md_move,2011,6.01315787318159,yy_md_move_res,pct,
yy_md_move,2012,2.79699188123483,yy_md_move_res,pct,
yy_md_move,2013,3.18096190898456,yy_md_move_res,pct,
yy_md_move,2014,3.67762458551982,yy_md_move_res,pct,
yy_md_move,2015,6.53555628457785,yy_md_move_res,pct,
yy_md_move,2016,5.23503818737849,yy_md_move_res,pct,
yy_md_move,2017,2.73191987698201,yy_md_move_res,pct,
yy_md_move,2018,2.96921173385178,yy_md_move_res,pct,
yy_md_move,2019,-2.29066544025066,yy_md_move_res,pct,
yy_md_move,2020,3.8203501854312,yy_md_move_res,pct,
yy_md_move,2021,-2.25504666649861,yy_md_move_res,pct,
yy_md_move,2022,2.76120775856085,yy_md_move_res,pct,
yy_md_move,2023,0.923034554008887,yy_md_move_res,pct,
yy_md_move,2024,5.17299184485398,yy_md_move_res,pct,
yy_md_move,2025,1.74828632834606,yy_md_move_res,pct,
yy_md_move,2026,0.251003045857944,yy_md_move_res,pct,
yy_md_move,2027,3.93220655928432,yy_md_move_res,pct,
yy_md_move,2028,5.22219079240243,yy_md_move_res,pct,
yy_md_move,2029,8.07115415160684,yy_md_move_res,pct,
yy_md_move,2030,3.63723340742183,yy_md_move_res,pct,
yy_auto_com_reg,2023,-1.1,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2024,-25.9,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2025,-15,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2026,-1,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2027,5.42626866529004,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2028,4.44951026417217,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2029,3.07938969422594,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2030,4.70655387463496,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2031,4.85498268466157,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2032,4.49025065231162,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2033,3.90760864005977,yy_auto_com_reg_res,pct,
yy_auto_com_reg,2034,3.27270177243259,yy_auto_com_reg_res,pct,
yy_auto_nevr,2024,-4.1,yy_auto_nevr_res,pct,
yy_auto_nevr,2025,12,yy_auto_nevr_res,pct,
yy_auto_nevr,2026,9.85624743413218,yy_auto_nevr_res,pct,
yy_auto_nevr,2027,10.422258513101,yy_auto_nevr_res,pct,
yy_auto_nevr,2028,9.30825596719719,yy_auto_nevr_res,pct,
yy_auto_nevr,2029,12.7123168082779,yy_auto_nevr_res,pct,
